ID,Start time,Completion time,Email,Name,Last modified time,How would you primarily describe your professional role?,How many years of experience do you have in game development?,Which game engine(s) do you primarily work with? (Select all that apply),Houdini,Unreal Engine PCG tools,Blender Geometry Nodes,Plugins/Tools that use Wave Function Collapse,Plugins/Tools that use other methods,Custom code-based PCG solutions,"If you use procedural generation, what aspects do you currently use it for? (Select all that apply)",How frequently do you incorporate procedural level generation (not just world building) in your design workflow?,What are your primary concerns when considering procedural level generation? (Select up to 3),"Which statement best describes your view on procedural level generation tools?
",What do you consider the most critical factor when evaluating a new design tool? (Select up to 3),"If using a node-based tool for creating a procedural level generator, which features would be most important to you? (Rank top 3)",How important is real-time feedback when configuring a procedural level generator?,Which approach to creating procedural generators would you prefer?,What level of integration would you prefer for a PCG level generation tool?,Action/Adventure,First-person Shooters,Platformers,Racing games,Puzzle games,RPGs,Strategy games,Roguelikes / Roguelites,"How are levels typically represented and stored in your projects, especially when procedurally generated? (Select all that apply)",Which of these approaches to level generation would be most useful to your workflow? (Select one),What role would you prefer AI to play in your procedural level generation workflow? (Select up to 2),"When considering AI-assisted procedural level design, which is most important to you? (Select up to 2)",What concerns you most about using AI in procedural level generation? (Select up to 2),Which problems do you wish a procedural level generation tool could solve for you?,What is the single most important problem you would want a procedural level generation tool to solve in your workflow?
36,5/1/25 19:18:58,5/1/25 19:31:30,anonymous,,,Game Designer,10+ years,Unity;,No Experience,No Experience,No Experience,No Experience,No Experience,Limited Experience,Level layout/structure generation;,Rarely (a few projects),Time investment to set up compared to potential benefits;Unpredictable results affecting game balance;Integration with existing workflows;,PCG for common elements can allow more time for handcrafting gameplay,"Quick iteration times;Reliability (predictable, stable results);Documentation and learning resources;","Ability to mix procedural and hand-crafted content;Support for mission/gameplay integration;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Visual previews of generation steps;Easy debugging of unexpected results;Runtime vs. offline generation options;Limited or no programming required;",Essential,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Somewhat Interested,Somewhat Interested,Interested,Interested,Very Interested,Interested,Somewhat Interested,Very Interested,Rectangular grid/tile-based;,Balanced approach (iterative refinement between mission and space),Suggestion-based (AI proposes level designs for you to select and modify);,Maintaining creative control over the final output;Consistency with existing game assets and style;,"Potential ""black box"" nature (lack of transparency);Loss of designer agency/control;",Time savings compared to manual design;Improved iteration speed on level designs;Ability to create more content variations with consistent quality;,Creating more content of the same quality in the same time as handcrafted
37,5/1/25 0:48:33,5/2/25 4:44:04,anonymous,,,Level Designer,0-2 years,Unity;Unreal Engine;,No Experience,No Experience,No Experience,No Experience,Limited Experience,No Experience,"I don't currently use procedural generation;If i did use it, it would be for structure generation and world building;",Rarely (a few projects),Unclear design methodology for procedural systems;Time investment to set up compared to potential benefits;Difficulty in debugging unexpected outputs;,I dont know enough about them to know where to begin,Flexibility (ability to adapt to various use cases);Simplicity (low barrier to entry);Documentation and learning resources;,"Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Limited or no programming required;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Runtime vs. offline generation options;Support for mission/gameplay integration;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Very Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Very Interested,Very Interested,Very Interested,Scene graph/hierarchical structure;Navigation mesh;,Balanced approach (iterative refinement between mission and space),Tool-based (AI enhances specific components of your manual design process);I prefer traditional rule-based PCG without AI involvement;,Maintaining creative control over the final output;Consistency with existing game assets and style;,Loss of designer agency/control;Unpredictable or inconsistent results;,Ability to create more content variations with consistent quality;Reduced technical barriers to procedural generation;Learning resources and examples for different game genres;,
38,5/4/25 16:14:39,5/4/25 16:22:12,anonymous,,,Programmer/Technical Designer,6-10 years,Unreal Engine;,No Experience,No Experience,Limited Experience,No Experience,No Experience,Moderate Experience,Level layout/structure generation;,Rarely (a few projects),Difficulty in debugging unexpected outputs;Unpredictable results affecting game balance;Unpredictable results affecting game accessibility and content rating (Mostly AI-based procedural generation);,"""Most PCG tools are built for programmers, not designers""",Simplicity (low barrier to entry);Familiarity (resemblance to tools you already know);Integration with existing workflows;,"Control over generation constraints and rules;Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Easy debugging of unexpected results;Runtime vs. offline generation options;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Support for mission/gameplay integration;Limited or no programming required;",Essential,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Interested,Somewhat Interested,Interested,Very Interested,Interested,Interested,Very Interested,Somewhat Interested,Scene graph/hierarchical structure;Constraint-based representations (is this a known term);,Context-dependent (different approaches for different game sections),Suggestion-based (AI proposes level designs for you to select and modify);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Novelty/uniqueness of the generated content;,Difficulty integrating with existing tools/workflows;,Ability to create more content variations with consistent quality;Better integration with existing workflows;Community/marketplace of shareable generator components;,"It is very genre-dependent, but procedural live generation can help keep games balanced during gameplay. Essentially, in what I do, it'd be extremely helpful to have procedural generation support subtle rubber-banding"
39,5/4/25 16:58:05,5/4/25 17:06:38,anonymous,,,Most of the above because indie :(,0-2 years,Godot;,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,I don't currently use procedural generation;,Rarely (a few projects),Lack of precise artistic control;Unclear design methodology for procedural systems;,I cannot answer,"Simplicity (low barrier to entry);Reliability (predictable, stable results);Integration with existing workflows;","Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Easy debugging of unexpected results;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Standalone application that exports to game engines,Somewhat Interested,Not Interested,Not Interested,Somewhat Interested,Interested,Not Interested,Interested,Very Interested,Rectangular grid/tile-based;,Space-driven generation (spatial layout determines gameplay possibilities),I prefer traditional rule-based PCG without AI involvement;,Consistency with existing game assets and style;Maintaining creative control over the final output;,Unpredictable or inconsistent results;Loss of designer agency/control;,Ability to create more content variations with consistent quality;Improved iteration speed on level designs;Better integration with existing workflows;,"I design games where the level is ""consumed"" once. I would like the level generation to alter the existing and designed by hand level to introduce variability with playthrough/player excursion in the level"
40,5/5/25 14:14:09,5/5/25 14:22:08,anonymous,,,Game Designer,6-10 years,Unreal Engine;,No Experience,Limited Experience,No Experience,No Experience,Limited Experience,No Experience,I don't currently use procedural generation;,Never,,"""PCG tools are too complex to integrate into my workflow""",Flexibility (ability to adapt to various use cases);Simplicity (low barrier to entry);Integration with existing workflows;,"Limited or no programming required;Visual previews of generation steps;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Runtime vs. offline generation options;Support for mission/gameplay integration;",,,Deep integration within existing engine (like Unreal Blueprint),Interested,Somewhat Interested,Somewhat Interested,Not Interested,Somewhat Interested,Interested,Somewhat Interested,Very Interested,,Not sure/would need to experiment,Full automation (AI generates complete levels with minimal input);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Consistency with existing game assets and style;,"Potential ""black box"" nature (lack of transparency);Loss of designer agency/control;",Time savings compared to manual design;Ability to create more content variations with consistent quality;Reduced technical barriers to procedural generation;,
41,5/6/25 8:29:08,5/6/25 8:37:10,anonymous,,,Programmer/Technical Designer,6-10 years,Unity;,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Level layout/structure generation;Enemy/NPC placement;,Sometimes (about half of projects),Unpredictable results affecting game balance;Time investment to set up compared to potential benefits;Lack of precise artistic control;,"""PCG tools are too complex to integrate into my workflow""",Feature completeness (comprehensive capabilities);Documentation and learning resources;Integration with existing workflows;,"Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Support for mission/gameplay integration;Runtime vs. offline generation options;Control over generation constraints and rules;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Limited or no programming required;",Essential,Building generators from programming primitives (maximum flexibility),Deep integration within existing engine (like Unreal Blueprint),Somewhat Interested,Not Interested,Interested,Somewhat Interested,Not Interested,Very Interested,Interested,Very Interested,Rectangular grid/tile-based;Hexagonal grid/tile-based;Node-based graphs (mission/flow graphs);Free-form geometry;,Balanced approach (iterative refinement between mission and space),Tool-based (AI enhances specific components of your manual design process);Assistant-based (AI helps implement your design intentions);,Consistency with existing game assets and style;Maintaining creative control over the final output;,"Potential ""black box"" nature (lack of transparency);Unpredictable or inconsistent results;",Ability to create more content variations with consistent quality;Time savings compared to manual design;Improved iteration speed on level designs;,
42,5/6/25 10:24:22,5/6/25 10:29:20,anonymous,,,Game Designer,10+ years,Unreal Engine;,Moderate Experience,Moderate Experience,No Experience,No Experience,No Experience,Limited Experience,"World building (terrain, vegetation, etc.);",Rarely (a few projects),Lack of precise artistic control;Technical complexity/steep learning curve;Difficulty in debugging unexpected outputs;,"""PCG tools don't give me enough control over the final output""","Reliability (predictable, stable results);Documentation and learning resources;Flexibility (ability to adapt to various use cases);","Control over generation constraints and rules;Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Interested,Interested,Interested,Not Interested,Somewhat Interested,Interested,Interested,Very Interested,Rectangular grid/tile-based;,Balanced approach (iterative refinement between mission and space),Tool-based (AI enhances specific components of your manual design process);I prefer traditional rule-based PCG without AI involvement;,Maintaining creative control over the final output;Consistency with existing game assets and style;,Unpredictable or inconsistent results;Loss of designer agency/control;,Improved iteration speed on level designs;Time savings compared to manual design;Ability to create more content variations with consistent quality;,Accelerating my workflow
43,5/6/25 15:57:15,5/6/25 16:15:16,anonymous,,,Programmer/Technical Designer,6-10 years,Unity;Godot;,No Experience,No Experience,Limited Experience,No Experience,No Experience,No Experience,I don't currently use procedural generation;,Rarely (a few projects),Difficulty in debugging unexpected outputs;Time investment to set up compared to potential benefits;Technical complexity/steep learning curve;,"""PCG tools are too complex to integrate into my workflow""","Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);Documentation and learning resources;","Control over generation constraints and rules;Ability to mix procedural and hand-crafted content;Limited or no programming required;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Easy debugging of unexpected results;Runtime vs. offline generation options;Support for mission/gameplay integration;",Essential,"Assembling generators from pre-built, configurable components (balanced approach)",Standalone application that exports to game engines,Interested,Somewhat Interested,Interested,Somewhat Interested,Somewhat Interested,Very Interested,Interested,Very Interested,Rectangular grid/tile-based;Navigation mesh;,Balanced approach (iterative refinement between mission and space),Tool-based (AI enhances specific components of your manual design process);Assistant-based (AI helps implement your design intentions);,Maintaining creative control over the final output;Speed of generation compared to traditional methods;,Unpredictable or inconsistent results;,Learning resources and examples for different game genres;Time savings compared to manual design;Improved iteration speed on level designs;,Ease of integration to game engines
44,5/8/25 8:06:19,5/8/25 8:10:05,anonymous,,,Game Designer,3-5 years,Unreal Engine;Godot;,No Experience,Limited Experience,Limited Experience,Limited Experience,Limited Experience,Moderate Experience,"World building (terrain, vegetation, etc.);Enemy/NPC placement;Level layout/structure generation;",Sometimes (about half of projects),Time investment to set up compared to potential benefits;,"""PCG tools don't give me enough control over the final output""",Simplicity (low barrier to entry);Familiarity (resemblance to tools you already know);Flexibility (ability to adapt to various use cases);,"Visual previews of generation steps;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Easy debugging of unexpected results;Ability to mix procedural and hand-crafted content;Limited or no programming required;Support for mission/gameplay integration;",Somewhat important,Building generators from programming primitives (maximum flexibility),Web-based tool accessible from anywhere,Interested,Interested,Interested,Not Interested,Somewhat Interested,Interested,Somewhat Interested,Very Interested,Rectangular grid/tile-based;Free-form geometry;,Space-driven generation (spatial layout determines gameplay possibilities),I have no opinion/not sure;,Novelty/uniqueness of the generated content;Consistency with existing game assets and style;,Unpredictable or inconsistent results;,Improved iteration speed on level designs;Time savings compared to manual design;Learning resources and examples for different game genres;,
45,5/8/25 11:14:56,5/8/25 11:29:31,anonymous,,,Programmer/Technical Designer,3-5 years,Unreal Engine;Godot;GameMaker;,No Experience,Limited Experience,No Experience,Limited Experience,Moderate Experience,Moderate Experience,"World building (terrain, vegetation, etc.);Puzzle generation;Mission/quest generation;Level layout/structure generation;",Sometimes (about half of projects),Time investment to set up compared to potential benefits;Difficulty in debugging unexpected outputs;Technical complexity/steep learning curve;,"""Most PCG tools are built for programmers, not designers""",Simplicity (low barrier to entry);Documentation and learning resources;Familiarity (resemblance to tools you already know);,"Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Easy debugging of unexpected results;Limited or no programming required;Visual previews of generation steps;Runtime vs. offline generation options;Ability to mix procedural and hand-crafted content;Support for mission/gameplay integration;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Any of the above works for me as long as the tool works,Very Interested,Interested,Somewhat Interested,Very Interested,Very Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,,Context-dependent (different approaches for different game sections),Assistant-based (AI helps implement your design intentions);Tool-based (AI enhances specific components of your manual design process);,Understanding how the AI makes its decisions;Maintaining creative control over the final output;,"Potential ""black box"" nature (lack of transparency);Loss of designer agency/control;",Time savings compared to manual design;Reduced technical barriers to procedural generation;Improved iteration speed on level designs;,"time Saver : boiler code already done (don't want to implement known algorithms), fast, saves time for polish balancing etc"
46,5/11/25 0:38:32,5/11/25 0:46:30,anonymous,,,Level Designer,0-2 years,Unreal Engine;,No Experience,Moderate Experience,No Experience,No Experience,Limited Experience,No Experience,"World building (terrain, vegetation, etc.);",Sometimes (about half of projects),Difficulty in debugging unexpected outputs;Lack of precise artistic control;Integration with existing workflows;,"""PCG tools don't give me enough control over the final output""","Flexibility (ability to adapt to various use cases);Simplicity (low barrier to entry);Reliability (predictable, stable results);","Control over generation constraints and rules;Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Easy debugging of unexpected results;Support for mission/gameplay integration;Limited or no programming required;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Very Interested,Very Interested,Interested,Somewhat Interested,Not Interested,Interested,Somewhat Interested,Very Interested,Navigation mesh;Rectangular grid/tile-based;Free-form geometry;Scene graph/hierarchical structure;,Context-dependent (different approaches for different game sections),Tool-based (AI enhances specific components of your manual design process);I prefer traditional rule-based PCG without AI involvement;,Maintaining creative control over the final output;Understanding how the AI makes its decisions;,Loss of designer agency/control;Intellectual property/ownership concerns;,Time savings compared to manual design;Ability to create more content variations with consistent quality;Improved iteration speed on level designs;,
47,5/17/25 15:13:14,5/17/25 15:24:40,anonymous,,,Academic/Researcher,10+ years,Godot;Unity;Custom in-house engine;,No Experience,No Experience,No Experience,Extensive Experience,Limited Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Mission/quest generation;Enemy/NPC placement;Puzzle generation;Level layout/structure generation;",Rarely (a few projects),Integration with existing workflows;Time investment to set up compared to potential benefits;,Most PCG tools are bullshit ,"Community support;Documentation and learning resources;Reliability (predictable, stable results);","Easy debugging of unexpected results;Control over generation constraints and rules;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Ability to mix procedural and hand-crafted content;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Very important,Building generators from programming primitives (maximum flexibility),Standalone application that exports to game engines,Somewhat Interested,Somewhat Interested,Somewhat Interested,Interested,Interested,Interested,Somewhat Interested,Very Interested,Rectangular grid/tile-based;Scene graph/hierarchical structure;,Mission-driven generation (gameplay goals determine level structure),Suggestion-based (AI proposes level designs for you to select and modify);Full automation (AI generates complete levels with minimal input);,Speed of generation compared to traditional methods;Maintaining creative control over the final output;,"Unpredictable or inconsistent results;Potential ""black box"" nature (lack of transparency);",Time savings compared to manual design;Improved iteration speed on level designs;Ability to create more content variations with consistent quality;,Creativity 
48,5/17/25 23:44:35,5/18/25 0:01:22,anonymous,,,Game Designer,10+ years,Unity;Custom in-house engine;Godot;,No Experience,Limited Experience,No Experience,Limited Experience,Limited Experience,Moderate Experience,Level layout/structure generation;Enemy/NPC placement;,Rarely (a few projects),Unpredictable results affecting game balance;Unclear design methodology for procedural systems;Lack of precise artistic control;,"""Most PCG tools are built for programmers, not designers""","Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);Feature completeness (comprehensive capabilities);","Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Control over generation constraints and rules;Visual previews of generation steps;Support for mission/gameplay integration;Runtime vs. offline generation options;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Limited or no programming required;",Very important,Building generators from programming primitives (maximum flexibility),Deep integration within existing engine (like Unreal Blueprint),Somewhat Interested,Somewhat Interested,Interested,Very Interested,Interested,Somewhat Interested,Somewhat Interested,Very Interested,Rectangular grid/tile-based;,Context-dependent (different approaches for different game sections),I prefer traditional rule-based PCG without AI involvement;,Consistency with existing game assets and style;Learning from my design preferences over time;,Intellectual property/ownership concerns;Unpredictable or inconsistent results;,Ability to create more content variations with consistent quality;Better integration with existing workflows;Improved iteration speed on level designs;,Generating meaningful content which can engage users while maintaining an authored feel
50,5/19/25 15:04:49,5/19/25 15:10:12,anonymous,,,Programmer/Technical Designer,3-5 years,Unreal Engine;Unity;,No Experience,Moderate Experience,No Experience,Limited Experience,Moderate Experience,Moderate Experience,Level layout/structure generation;Enemy/NPC placement;,Rarely (a few projects),Integration with existing workflows;Unclear design methodology for procedural systems;Lack of precise artistic control;,"""Existing PCG tools are too limited in what they can generate""","Flexibility (ability to adapt to various use cases);Documentation and learning resources;Reliability (predictable, stable results);","Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Visual previews of generation steps;Easy debugging of unexpected results;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Very important,Building generators from programming primitives (maximum flexibility),Deep integration within existing engine (like Unreal Blueprint),Interested,Somewhat Interested,Interested,Very Interested,Very Interested,Interested,Somewhat Interested,Very Interested,Node-based graphs (mission/flow graphs);Scene graph/hierarchical structure;Free-form geometry;,Context-dependent (different approaches for different game sections),I prefer traditional rule-based PCG without AI involvement;Assistant-based (AI helps implement your design intentions);,Understanding how the AI makes its decisions;Consistency with existing game assets and style;,"Potential ""black box"" nature (lack of transparency);Loss of designer agency/control;",Ability to create more content variations with consistent quality;Reduced technical barriers to procedural generation;Better integration with existing workflows;,
52,5/19/25 18:17:08,5/19/25 18:20:48,anonymous,,,Academic/Researcher,10+ years,Custom in-house engine;,No Experience,No Experience,No Experience,No Experience,No Experience,Moderate Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Mission/quest generation;",Rarely (a few projects),Difficulty in debugging unexpected outputs;Time investment to set up compared to potential benefits;Unpredictable results affecting game balance;,"""Most PCG tools are built for programmers, not designers""","Reliability (predictable, stable results);Simplicity (low barrier to entry);Flexibility (ability to adapt to various use cases);","Visual previews of generation steps;Easy debugging of unexpected results;Support for mission/gameplay integration;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Ability to mix procedural and hand-crafted content;Runtime vs. offline generation options;Limited or no programming required;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Web-based tool accessible from anywhere,Not Interested,Not Interested,Not Interested,Somewhat Interested,Not Interested,Somewhat Interested,Somewhat Interested,Interested,Rectangular grid/tile-based;Hexagonal grid/tile-based;Navigation mesh;,Not sure/would need to experiment,I prefer traditional rule-based PCG without AI involvement;,Consistency with existing game assets and style;,"Potential ""black box"" nature (lack of transparency);Loss of designer agency/control;",Time savings compared to manual design;Learning resources and examples for different game genres;Ability to create more content variations with consistent quality;,
53,5/19/25 18:28:19,5/19/25 18:38:17,anonymous,,,Level Designer,0-2 years,Unreal Engine;,No Experience,Limited Experience,No Experience,No Experience,No Experience,Moderate Experience,"World building (terrain, vegetation, etc.);",Rarely (a few projects),Difficulty in debugging unexpected outputs;Unpredictable results affecting game balance;Unclear design methodology for procedural systems;,"I do see the value of PCG tools, but as a level designer i only use them for set dressing because the level layout itself is superior if handcrafted","Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);Integration with existing workflows;","Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Limited or no programming required;Easy debugging of unexpected results;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Support for mission/gameplay integration;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Somewhat Interested,Somewhat Interested,Somewhat Interested,Very Interested,Not Interested,Very Interested,Interested,Very Interested,Rectangular grid/tile-based;,Balanced approach (iterative refinement between mission and space),Suggestion-based (AI proposes level designs for you to select and modify);,Maintaining creative control over the final output;Consistency with existing game assets and style;,Loss of designer agency/control;Lack of specialized AI tools for level design specifically;,Ability to create more content variations with consistent quality;Time savings compared to manual design;Improved iteration speed on level designs;,Timesaving for repetitive and time consuming tasks such as set dressing which unlocks more scope possibilities
54,5/19/25 19:22:56,5/19/25 19:37:55,anonymous,,,Programmer/Technical Designer,10+ years,Custom in-house engine;,No Experience,No Experience,No Experience,No Experience,No Experience,Moderate Experience,"World building (terrain, vegetation, etc.);",Sometimes (about half of projects),Lack of precise artistic control;Difficulty in debugging unexpected outputs;Unpredictable results affecting game balance;,"""PCG tools are too complex to integrate into my workflow""","Documentation and learning resources;Reliability (predictable, stable results);Simplicity (low barrier to entry);","Control over generation constraints and rules;Easy debugging of unexpected results;Runtime vs. offline generation options;Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Support for mission/gameplay integration;Limited or no programming required;",Very important,Building generators from programming primitives (maximum flexibility),a library to embed into the game,Somewhat Interested,Somewhat Interested,Somewhat Interested,Interested,Not Interested,Interested,Very Interested,Very Interested,Hexagonal grid/tile-based;Voxel-based;,Not sure/would need to experiment,I prefer traditional rule-based PCG without AI involvement;,,"Potential ""black box"" nature (lack of transparency);paying for tokens every time player generates a map;",Reduced technical barriers to procedural generation;Ability to create more content variations with consistent quality;level generation taking care of new content added to the game;,a new random map being generated for every play customised to specific settings
55,5/19/25 20:27:21,5/19/25 20:40:34,anonymous,,,Programmer/Technical Designer,3-5 years,Unity;,No Experience,No Experience,No Experience,No Experience,No Experience,Moderate Experience,Level layout/structure generation;,Often (most projects),Lack of precise artistic control;Unclear design methodology for procedural systems;Unpredictable results affecting game balance;,"""PCG tools don't give me enough control over the final output""",Feature completeness (comprehensive capabilities);Documentation and learning resources;Flexibility (ability to adapt to various use cases);,"Control over generation constraints and rules;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Support for mission/gameplay integration;Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Runtime vs. offline generation options;Limited or no programming required;",Very important,Building generators from programming primitives (maximum flexibility),Deep integration within existing engine (like Unreal Blueprint),Somewhat Interested,Very Interested,Interested,Somewhat Interested,Not Interested,Interested,Very Interested,Very Interested,Rectangular grid/tile-based;Hexagonal grid/tile-based;,Mission-driven generation (gameplay goals determine level structure),I prefer traditional rule-based PCG without AI involvement;,,,Ability to create more content variations with consistent quality;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,Provide infinite levels that retain the 'essence' of what makes a level fun/interesting in the first place.
56,5/19/25 21:06:56,5/19/25 21:16:52,anonymous,,,Technical Artist,10+ years,Unreal Engine;,,,,,,,"Enemy/NPC placement;Mission/quest generation;Level layout/structure generation;World building (terrain, vegetation, etc.);",Often (most projects),"People, Convincing other depts.;Lack of precise artistic control;","""Existing PCG tools are too limited in what they can generate""","Flexibility (ability to adapt to various use cases);Simplicity (low barrier to entry);Reliability (predictable, stable results);","Visual previews of generation steps;Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Easy debugging of unexpected results;Support for mission/gameplay integration;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Limited or no programming required;Runtime vs. offline generation options;",Somewhat important,Mixed-initiative (not as well-known term) approach where the tool learns from my examples,Deep integration within existing engine (like Unreal Blueprint),Very Interested,Very Interested,Very Interested,Interested,Interested,Very Interested,Interested,Very Interested,Rectangular grid/tile-based;Node-based graphs (mission/flow graphs);,Balanced approach (iterative refinement between mission and space),Assistant-based (AI helps implement your design intentions);,Maintaining creative control over the final output;Learning from my design preferences over time;,"Potential ""black box"" nature (lack of transparency);Unpredictable or inconsistent results;",Ability to create more content variations with consistent quality;Improved iteration speed on level designs;Better integration with existing workflows;,Make lots of unique fun levels
57,5/20/25 9:59:35,5/20/25 10:25:22,anonymous,,,Game Designer,10+ years,Godot;Unity;Custom in-house engine;Unreal Engine;,No Experience,Limited Experience,No Experience,No Experience,No Experience,Moderate Experience,Mission/quest generation;Enemy/NPC placement;,Rarely (a few projects),Difficulty in debugging unexpected outputs;Time investment to set up compared to potential benefits;Unpredictable results affecting game balance;,"""I'm satisfied with the current PCG tools available""",Flexibility (ability to adapt to various use cases);Documentation and learning resources;Integration with existing workflows;,"Ability to mix procedural and hand-crafted content;Support for mission/gameplay integration;Control over generation constraints and rules;Runtime vs. offline generation options;Visual previews of generation steps;Easy debugging of unexpected results;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Limited or no programming required;",Somewhat important,Building generators from programming primitives (maximum flexibility),Standalone application that exports to game engines,Interested,Not Interested,Not Interested,Not Interested,Not Interested,Interested,Not Interested,Very Interested,Rectangular grid/tile-based;Scene graph/hierarchical structure;,Balanced approach (iterative refinement between mission and space),Tool-based (AI enhances specific components of your manual design process);,Novelty/uniqueness of the generated content;Maintaining creative control over the final output;,Intellectual property/ownership concerns;,Ability to create more content variations with consistent quality;Community/marketplace of shareable generator components;Learning resources and examples for different game genres;,Reduce development cost ($) to create content.
58,5/20/25 15:02:24,5/20/25 15:10:25,anonymous,,,Programmer/Technical Designer,6-10 years,Unreal Engine;,No Experience,Limited Experience,No Experience,No Experience,No Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Enemy/NPC placement;",Always (essential part of workflow),Difficulty in debugging unexpected outputs;Integration with existing workflows;,"""Existing PCG tools are too limited in what they can generate""",Flexibility (ability to adapt to various use cases);Feature completeness (comprehensive capabilities);Documentation and learning resources;,"Runtime vs. offline generation options;Easy debugging of unexpected results;Support for mission/gameplay integration;Control over generation constraints and rules;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Ability to mix procedural and hand-crafted content;Limited or no programming required;",Somewhat important,Building generators from programming primitives (maximum flexibility),Deep integration within existing engine (like Unreal Blueprint),Not Interested,Not Interested,Interested,Interested,Somewhat Interested,Very Interested,Very Interested,Very Interested,Scene graph/hierarchical structure;,Context-dependent (different approaches for different game sections),I prefer traditional rule-based PCG without AI involvement;,Novelty/uniqueness of the generated content;Consistency with existing game assets and style;,Intellectual property/ownership concerns;Unpredictable or inconsistent results;,Ability to create more content variations with consistent quality;Better integration with existing workflows;Community/marketplace of shareable generator components;,
